genre,price_bin,game_count,median_owners,median_revenue,total_revenue,median_review_score,median_playtime,revenue_per_game
Early Access,$10-15,715,10000.0,149900.0,564734400.0,0.7919170287,30.0,789838.3216783217
Early Access,$15-20,517,10000.0,199900.0,2400211700.0,0.7812500000000001,136.0,4642575.82205029
Early Access,$20-30,252,10000.0,299900.0,3907410900.0,0.8069916297,248.5,15505598.80952381
Early Access,$30+,60,35000.0,1574650.0,995175450.0,0.7648766546500001,429.0,16586257.5
Education,Free,79,10000.0,0.0,0.0,0.7619047619,0.0,0.0
Education,$0-5,29,10000.0,29900.0,22523750.0,0.7545454545,0.0,776681.0344827586
Education,$5-10,37,10000.0,89900.0,14756800.0,0.6956521739,0.0,398832.4324324324
Education,$10-15,12,10000.0,139900.0,3787250.0,0.7849807445500001,0.0,315604.1666666667
Education,$15-20,11,10000.0,199900.0,17491250.0,0.4516129032,0.0,1590113.6363636365
Education,$20-30,10,10000.0,299900.0,13795350.0,0.6583986075000001,0.0,1379535.0
Education,$30+,36,10000.0,499900.0,70358500.0,0.7111111111,0.0,1954402.7777777778
Episodic,Free,8,10000.0,0.0,0.0,1.0,0.0,0.0
Fighting,Free,1,10000.0,0.0,0.0,,97.0,0.0
Free To Play,Free,1975,75000.0,0.0,0.0,0.7405846977,59.0,0.0
Free To Play,$0-5,21,35000.0,49900.0,2522850.0,0.85743740795,49.0,120135.71428571429
Free To Play,$5-10,13,10000.0,99900.0,9457950.0,0.8275862069000001,260.0,727534.6153846154
Free To Play,$10-15,9,10000.0,149900.0,2642950.0,0.90919979615,229.0,293661.1111111111
Free To Play,$15-20,14,42500.0,849574.9999999999,107092050.0,0.7795582124,189.0,7649432.142857143
Free To Play,$20-30,4,150000.0,4498500.0,23242000.0,0.7669465876,712.5,5810500.0
Free to Play,Free,272,75000.0,0.0,0.0,0.6930303796,73.5,0.0
Game Development,Free,35,10000.0,0.0,0.0,0.818099845,20.0,0.0
Game Development,$0-5,10,35000.0,113400.0,21993900.0,0.92891160105,115.0,2199390.0
Game Development,$5-10,14,10000.0,99900.0,6681750.0,0.74978540775,0.0,477267.85714285716
Game Development,$10-15,12,10000.0,139950.0,5955600.0,0.86333333335,147.0,496300.0
Game Development,$15-20,15,10000.0,199900.0,48495700.0,0.8666666667,0.0,3233046.6666666665
Game Development,$20-30,8,10000.0,274900.0,2199200.0,0.886707989,119.0,274900.0
Game Development,$30+,18,10000.0,649900.0,27049550.0,0.8194174757,30.5,1502752.7777777778
Gore,Free,24,10000.0,0.0,0.0,0.8209219858000001,0.0,0.0
Gore,$0-5,123,10000.0,29900.0,8733700.0,0.5892857143,0.0,71005.69105691057
Gore,$5-10,49,10000.0,79900.0,6358050.0,0.625,0.0,129756.12244897959
Gore,$10-15,13,10000.0,139900.0,2548050.0,0.4166666667,0.0,196003.84615384616
Gore,$15-20,15,10000.0,199900.0,2958500.0,0.48,0.0,197233.33333333334
Gore,$20-30,3,10000.0,299900.0,1424450.0,0.8163265306,0.0,474816.6666666667
Gore,$30+,1,10000.0,399900.0,399900.0,0.9900332226,914.0,399900.0
Indie,Free,3955,10000.0,0.0,0.0,0.7547169811000001,16.0,0.0
Indie,$0-5,10301,10000.0,49900.0,2514732750.0,0.7569974555000001,29.0,244125.1092126978
Indie,$5-10,7139,10000.0,99900.0,6360949500.0,0.8181818182,56.0,891014.077601905
Indie,$10-15,4027,10000.0,149900.0,7118114950.0,0.8333333333,108.0,1767597.4546809038
Indie,$15-20,2772,35000.0,559650.0,11904804000.0,0.83194076655,165.0,4294662.337662337
Indie,$20-30,1171,35000.0,1049650.0,11958525450.0,0.82214857215,253.0,10212233.518360376
Indie,$30+,196,75000.0,2999250.0,7909986850.0,0.8269230769,291.5,40357075.76530612
